NCBI GeneID	Symbol	Chromosomes	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
7157	TP53	17	NC_000017.11	7668421	7687490
7157	TP53	17	NC_060941.1	7572544	7591594
1956	EGFR	7	NC_000007.14	55019017	55211628
1956	EGFR	7	NC_060931.1	55178937	55372056
348	APOE	19	NC_000019.10	44905796	44909393
348	APOE	19	NC_060943.1	47730492	47734089
7124	TNF	6	NC_000006.12	31575565	31578336
7124	TNF	6	NT_167244.2	2909108	2910915
7124	TNF	6	NT_113891.3	3052852	3055623
7124	TNF	6	NT_167245.2	2823298	2826069
7124	TNF	6	NT_167246.2	2880606	2883377
7124	TNF	6	NT_167247.2	2917463	2920234
7124	TNF	6	NT_167248.2	2831384	2834157
7124	TNF	6	NT_167249.2	2874845	2877616
7124	TNF	6	NC_060930.1	31428617	31431388
3569	IL6	7	NC_000007.14	22727200	22731998
3569	IL6	7	NC_060931.1	22861319	22867916
7422	VEGFA	6	NC_000006.12	43770211	43786487
7422	VEGFA	6	NC_060930.1	43599724	43616002
7040	TGFB1	19	NC_000019.10	41330323	41353922
7040	TGFB1	19	NC_060943.1	44151181	44174790
4524	MTHFR	1	NC_000001.11	11785723	11805964
4524	MTHFR	1	NC_060925.1	11329802	11350048
3091	HIF1A	14	NC_000014.9	61695513	61748258
3091	HIF1A	14	NC_060938.1	55902080	55954826
2064	ERBB2	17	NC_000017.11	39688094	39728658
2064	ERBB2	17	NC_060941.1	40551660	40592218
2099	ESR1	6	NC_000006.12	151656672	152129619
2099	ESR1	6	NC_060930.1	152857871	153330911
3586	IL10	1	NC_000001.11	206767602	206772494
3586	IL10	1	NC_060925.1	206031803	206036695
351	APP	21	NC_000021.9	25880550	26171128
351	APP	21	NC_060945.1	24238622	24529258
6774	STAT3	17	NC_000017.11	42313324	42388442
6774	STAT3	17	NC_060941.1	43169811	43244652
672	BRCA1	17	NC_000017.11	43044295	43170327
672	BRCA1	17	NC_060941.1	43902857	44029084
1636	ACE	17	NC_000017.11	63477061	63498373
1636	ACE	17	NC_060941.1	64347269	64368872
3845	KRAS	12	NC_000012.12	25205246	25250929
3845	KRAS	12	NC_060936.1	25076496	25122152
627	BDNF	11	NC_000011.10	27654893	27722030
627	BDNF	11	NC_060935.1	27795301	27862460
673	BRAF	7	NC_000007.14	140713328	140924929
673	BRAF	7	NC_060931.1	142027505	142239131
7421	VDR	12	NC_000012.12	47841537	47904994
